gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4401699779	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/8/2a1f250a-e0aa-4598-9be5-37d388c692bd_image.jpg										© All rights reserved	Jeanett  Rædergård
4161446416	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/7/87297d38-cf8a-4180-b4da-92fae921cfcb_image.jpg										© All rights reserved	Øystein Hegge
4144704399	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/6/e8de2d78-7a04-41ca-8322-101bec52ba75_image.jpg										© All rights reserved	Per Inge Værnesbranden
4137474550	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/6/9446b505-2587-4b35-80f5-31e213c9abfa_image.jpg										© All rights reserved	Jeanett  Rædergård
4137466554	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/6/2298e4f8-e1ea-4816-82cd-b7269da43298_image.jpg										© All rights reserved	Jeanett  Rædergård
4137417436	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/6/c5bccea5-17aa-45b4-b57c-262b125dfa14_image.jpg										© All rights reserved	Jeanett  Rædergård
4137407410	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/6/182c9c4a-dc32-4a51-b192-e30d49b98872_image.jpg										© All rights reserved	Jeanett  Rædergård
4131863066	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/6/f8ebe9e2-f1b8-4c19-9323-692a018e8091_image.jpg										© All rights reserved	Jostein Sandvik
4131863066	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/6/7ea64fb5-02ea-4468-8951-4563b92c8f34_image.jpg										© All rights reserved	Jostein Sandvik
4131844660	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/5/02e5c6dc-eae7-4c85-af6e-df3c62cb4db4_image.jpg										© All rights reserved	Bjørn Arild Steinsmo
4131835051	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/5/362efba8-4766-43e0-b79e-6b6a9d705699_image.jpg										http://creativecommons.org/licenses/by/4.0/	Trond Sørhuus
4131763186	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/5/125d58f8-8ece-408c-9291-e5435475e0d5_image.jpg										http://creativecommons.org/licenses/by/4.0/	Trond Sørhuus
4131747918	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/5/e4d086e0-af9b-4d9c-b250-f5a0021a0d95_image.jpg										http://creativecommons.org/licenses/by/4.0/	Trond Sørhuus
4131716458	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/6/5fa60982-d1b4-4ec1-a0ee-31d53ed8b936_image.jpg										© All rights reserved	Per Inge Værnesbranden
4109512828	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/5/2fbb922a-5de6-4090-8689-f77e2f0aad98_image.jpg										© All rights reserved	Øystein Hegge
4109496629	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/5/2575bf3a-c05a-4fbf-b528-e9ea5027998d_image.jpg										© All rights reserved	Jeanett  Rædergård
4109496629	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/5/3b70839e-8474-4252-84ab-8fc2d3ee2c60_image.jpg										© All rights reserved	Jeanett  Rædergård
4096154438	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/4/3ff55405-8ca6-4f4a-9731-a4f6d4e72895_image.jpg			var. omissus							http://creativecommons.org/licenses/by/4.0/	Are Nakrem
4079890619	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/4/76f96814-9f4b-446d-b190-08dc8290917b_image.jpg										© All rights reserved	Harald Dahlby
4079825859	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/4/28faf2eb-39d8-49d4-bf5e-cee83bb4e30e_image.jpg										© All rights reserved	Stian Gjevik
4070053449	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/3/1fb50b5d-f424-4765-a579-4754f6446abe_image.jpg			Par på tradisjonell hekkeplass, hvor arealet dessverre er blitt sterkt redusert p.g.a utbygging.							http://creativecommons.org/licenses/by-nc-sa/4.0/	Terje O. Nordvik
4069969361	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/3/d01d03c4-6cf4-41fc-9424-8b0e2457afed_image.jpg										© All rights reserved	Hanne Hanssen
4069969361	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/3/e882348e-0d73-4ace-8eed-ea95ee9c60c5_image.jpg										© All rights reserved	Hanne Hanssen
4059529368	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/3/73eb062c-2676-4324-a109-0c9b11ff11c4_image.jpg										© All rights reserved	Arnt Stavne
4059529368	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/3/305b9193-4636-4a8e-9de1-b1b423ae0a40_image.jpg										© All rights reserved	Arnt Stavne
4059529368	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/3/8dfc90ed-5801-4e15-b4e8-d5e205ca4cbe_image.jpg										© All rights reserved	Arnt Stavne
4053050407	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/3/94e3812a-9003-4a8d-80b9-865f1b4b23a4_image.jpg										© All rights reserved	Stian Gjevik
4041830403	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/3/e6aa36d1-6290-475a-b977-54f3cb7c695e_image.jpg										© All rights reserved	Stian Gjevik
4041830403	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/3/bd0da504-fe75-4787-978a-9c362a843b1f_image.jpg										© All rights reserved	Stian Gjevik
4041830403	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/3/7575b377-7201-4e0c-a90d-2788070183f5_image.jpg										© All rights reserved	Stian Gjevik
4041830403	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/3/7c453e11-c65a-45fe-b8bd-6c0d6e0e9078_image.jpg										© All rights reserved	Stian Gjevik
4041830403	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/3/e3d30e14-636c-4338-83cc-83ceef7257db_image.jpg										© All rights reserved	Inge Berg
4041830403	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/3/ffcc59bb-83ee-458b-83bb-14727558fda9_image.jpg										© All rights reserved	Stian Gjevik
4041830403	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/3/a4db8521-863c-4945-80ad-2e40fe1fe98f_image.jpg										© All rights reserved	Stian Gjevik
4041684421	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/3/0bb8f279-8ccf-4813-95ba-6ac2c293e8f1_image.jpg										© All rights reserved	Kjetil Aadne Solbakken
4041684421	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/3/02b9771d-fd2b-434b-957a-e0422f9abfa7_image.jpg										© All rights reserved	Kjetil Aadne Solbakken
4041684421	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/3/a1240672-a5e4-4f06-9196-4bbd0d93d1fa_image.jpg										© All rights reserved	Kjetil Aadne Solbakken
4041684421	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/3/18650a65-5035-4530-a143-6d10c02b8522_image.jpg										© All rights reserved	Kjetil Aadne Solbakken
4041684421	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/3/7cec3b45-ce37-413a-bfee-0836bb802010_image.jpg										© All rights reserved	Kjetil Aadne Solbakken
4041684421	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/3/14320db6-2026-43c9-bab8-4a12c2b149eb_image.jpg										© All rights reserved	Kjetil Aadne Solbakken
4027544415	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/2/bff0b4d3-849a-441d-8b6c-e35fbb5dc8d2_image.jpg										© All rights reserved	Øyvind Aas
4027544415	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/2/582523ba-4c5a-4662-a5e8-39a368f1bab5_image.jpg										© All rights reserved	Øyvind Aas
4027544415	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/2/7ff442c5-f86b-483b-bb47-2b95f6e542ce_image.jpg										© All rights reserved	Øyvind Aas
4027544415	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/2/a36457ee-f56c-4744-b57c-8b0a5968b7ac_image.jpg										© All rights reserved	Øyvind Aas
4027544415	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/2/82a2d9d8-515b-46e3-ba85-fb11767f29f0_image.jpg										© All rights reserved	Øyvind Aas
4027515339	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/2/70ff5cdf-4e44-4bf6-bb5c-aa3dc432dfa8_image.jpg										© All rights reserved	Arild Halseth
4027465448	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/2/91485b6a-8ddd-48b7-bffe-afc0330d6f9f_image.jpg										© All rights reserved	Arild Halseth
4027465448	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/2/babdc308-bc26-4d94-9482-d38346122680_image.jpg										© All rights reserved	Arild Halseth
4027414366	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/2/413d899b-dad2-4748-92a4-f35a6c7de08f_image.jpg										© All rights reserved	Arild Halseth
4023632415	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/2/81292541-b714-437a-8630-0e1a1f4252b4_image.jpg										© All rights reserved	Jeanett  Rædergård
4023628478	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/1f739bd3-c3cc-424d-84e0-62a47c7f16ab_image.jpg										© All rights reserved	Stian Gjevik
4023628478	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/eb655c49-fca6-4da0-b4bd-09481f3d40ce_image.jpg										© All rights reserved	Stian Gjevik
4023628478	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/db794f2b-caa2-472e-aa05-78e15204ee94_image.jpg										© All rights reserved	Stian Gjevik
4023628478	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/0bd20cd5-227f-4c22-ae7f-ccaaf1f22749_image.jpg										© All rights reserved	Stian Gjevik
4023628478	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/954f3625-f3ef-4468-b842-b0b90910738c_image.jpg										© All rights reserved	Stian Gjevik
4023598456	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/2d224287-6d3d-405c-b6dd-a2f453f84a3b_image.jpg										© All rights reserved	Stig Gaarden
4023586309	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/7dc66a04-492a-49ef-a518-504841374d1e_image.jpg										© All rights reserved	Helge Berge
4023586309	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/dc843f75-3fca-426f-8019-36d7ff5fd866_image.jpg										© All rights reserved	Helge Berge
4023586309	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/fdbd71f5-db91-45fd-8efa-30bed9296d25_image.jpg										© All rights reserved	Helge Berge
4023586309	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/723ceda2-9076-4723-9714-b15e97722c40_image.jpg										© All rights reserved	Helge Berge
4023560447	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/2fdcc3ec-72fc-42a8-b326-68880833bd99_image.jpg										© All rights reserved	Jeanett  Rædergård
4023560447	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/1f1e61b9-7baf-4c8f-89da-4b743a92bc3c_image.jpg										© All rights reserved	Jeanett  Rædergård
4023543428	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/2/7572f8ec-b85d-49c0-b1f9-17d1e50cdb97_image.jpg										http://creativecommons.org/licenses/by/4.0/	Nils Valland
4023540506	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/a3d8aa08-b32c-4d0a-9b84-1837ca085267_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Kjell Larsen
4020771451	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/39a34022-dc66-4410-a3f8-3285df25f283_image.jpg										© All rights reserved	Stian Gjevik
4020770355	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/ad325e9d-582d-472b-8520-c55750c27651_image.jpg										© All rights reserved	Siri Sofie Børseth
4020668436	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2023/1/ad0574b8-1c0d-4b01-bb1b-a760181643a7_image.jpg										© All rights reserved	Siri Sofie Børseth
