"","mean","sd","quant0.025","quant0.25","quant0.5","quant0.75","quant0.975","parameter","model"
"betaNibc01","0.422414722064727","0.0322510037144018","0.359122776496302","0.40058671870514","0.422347492006359","0.444108265307579","0.485572207516417","betaNibc01","naive"
"betaNibc02","0.276541220978224","0.0581854067858879","0.162353531448284","0.237160392212447","0.276419928371985","0.315679464531523","0.390486325295686","betaNibc02","naive"
"betaPo01","-0.47054859137893","0.0080591264005847","-0.486364464707771","-0.476003139079372","-0.470565391337873","-0.465127643596375","-0.454766317967976","betaPo01","naive"
"betaPo02","-0.49546803278988","0.0083342221299648","-0.51182377594988","-0.501108769749989","-0.495485406210106","-0.489862042670223","-0.479147036470332","betaPo02","naive"
"betaPA01","-0.373259952418338","0.0595888528806152","-0.490201876657445","-0.413590656305583","-0.373384170631596","-0.333177684957609","-0.256566464605748","betaPA01","naive"
"betaPA01.1","-0.373259952418338","0.0595888528806152","-0.490201876657445","-0.413590656305583","-0.373384170631596","-0.333177684957609","-0.256566464605748","betaPA01","naive"
"elev1","-1.11587582527107","0.0206566087764409","-1.15641400417193","-1.12985655373964","-1.11591888579179","-1.10198121784394","-1.07542376741165","elev1","naive"
"elev2","-1.01057950273693","0.0198729150575417","-1.04957969849041","-1.02402981456233","-1.01062092957906","-0.997212044595783","-0.971662160667701","elev2","naive"
"prec1","-3.61718423788936","0.073987263096267","-3.76238275233292","-3.66726001976993","-3.61733847085713","-3.56741692194434","-3.47229418938134","prec1","naive"
"prec2","-4.08171315492103","0.07764362740138","-4.23408721070979","-4.13426362357545","-4.0818750099023","-4.02948639622914","-3.9296628090948","prec2","naive"
"distwb1","-4.98244159539984","0.216952152931024","-5.40820582822374","-5.12927833775317","-4.98289385127484","-4.8365093647965","-4.55758187432593","distwb1","naive"
"distwb2","-5.78218212763278","0.230835675117969","-6.23519249326967","-5.93841546339522","-5.78266332493283","-5.62691118647044","-5.33013415659599","distwb2","naive"
"dist1",NA,NA,NA,NA,NA,NA,NA,"dist1","naive"
"dist2",NA,NA,NA,NA,NA,NA,NA,"dist2","naive"
"timeSpent1",NA,NA,NA,NA,NA,NA,NA,"timeSpent1","naive"
"timeSpent2",NA,NA,NA,NA,NA,NA,NA,"timeSpent2","naive"
"rho11","8.51951388313367","0.000672263557866191","8.51725157582981","8.51966640388044","8.51973181291162","8.51977378012221","8.51980865039876","rho11","naive"
"rho12","8.51951388313367","0.000672263557866191","8.51725157582981","8.51966640388044","8.51973181291162","8.51977378012221","8.51980865039876","rho12","naive"
"sd11","0.917986079611426","0.000200284334947549","0.917315614448218","0.918048820731068","0.918055868374942","0.918060681559943","0.91806852493616","sd11","naive"
"sd12","0.760627917966181","1.92679965968128e-05","0.760623581987655","0.760629008778712","0.760630399681155","0.76063120171251","0.760631717149994","sd12","naive"
"betaNibc01.1","0.407270657483475","0.031682952315445","0.345093501350482","0.385827120540954","0.407204611578291","0.428582102615628","0.4693157218061","betaNibc01","USE"
"betaNibc02.1","0.278725576123859","0.058316529672542","0.164280560568399","0.239256001257783","0.278604010180412","0.317952019103041","0.392927459792426","betaNibc02","USE"
"betaPo01.1","-0.476865745987281","0.0085209479493788","-0.493587934809037","-0.482632862016071","-0.476883508653928","-0.471134155291784","-0.460179082498818","betaPo01","USE"
"betaPo02.1","-0.505793004112518","0.00896261577864493","-0.523381957158318","-0.511859048104802","-0.505811687474663","-0.499764326844523","-0.488241417791007","betaPo02","USE"
"betaPA01.2","-0.348259657191869","0.0493853443228027","-0.445177401285548","-0.381684460690654","-0.348362605292669","-0.315040749894685","-0.251547809299791","betaPA01","USE"
"betaPA01.3","-0.348259657191869","0.0493853443228027","-0.445177401285548","-0.381684460690654","-0.348362605292669","-0.315040749894685","-0.251547809299791","betaPA01","USE"
"elev1.1","-1.13796754485657","0.0221495256254547","-1.18143554302081","-1.15295870370692","-1.13801371749398","-1.12306873128105","-1.09459189196715","elev1","USE"
"elev2.1","-1.0195157552772","0.0215175162519769","-1.06174344776851","-1.03407915991407","-1.0195606104354","-1.00504206095672","-0.977377773102285","elev2","USE"
"prec1.1","-3.55538379260509","0.0770668397115046","-3.70662591416341","-3.60754388197882","-3.55554444522161","-3.50354500846439","-3.4044629762798","prec1","USE"
"prec2.1","-4.00047974657265","0.0818499563170549","-4.16110863818398","-4.05587712698575","-4.0006503700171","-3.94542361304845","-3.84019210185022","prec2","USE"
"distwb1.1","-4.67758857910007","0.221470163799945","-5.11221931730548","-4.82748318462253","-4.67805025316674","-4.52861732171096","-4.243881189028","distwb1","USE"
"distwb2.1","-5.35341805164421","0.237204937938839","-5.81892796735213","-5.51396220797779","-5.35391252623371","-5.19386284448963","-4.88889708511529","distwb2","USE"
"dist1.1","-2.95773814770414","0.30009506515911","-3.54666867208721","-3.16084736404035","-2.95836372230408","-2.75588008056781","-2.37005877252096","dist1","USE"
"dist2.1","-2.88105776859093","0.300069838108306","-3.46993878539463","-3.08414991084924","-2.88168329060286","-2.67921667035647","-2.29342779581108","dist2","USE"
"timeSpent1.1",NA,NA,NA,NA,NA,NA,NA,"timeSpent1","USE"
"timeSpent2.1",NA,NA,NA,NA,NA,NA,NA,"timeSpent2","USE"
"rho11.1","14.9371063861747","0.00375117762778723","14.9304888798619","14.9344356888033","14.9368095247364","14.9395208834284","14.9450890574592","rho11","USE"
"rho12.1","14.9371063861747","0.00375117762778723","14.9304888798619","14.9344356888033","14.9368095247364","14.9395208834284","14.9450890574592","rho12","USE"
"sd11.1","1.57841479431234","0.000819879592422184","1.57652163080979","1.57791021504186","1.57854626731881","1.57904729810111","1.57960972437659","sd11","USE"
"sd12.1","1.58679259842853","0.000504521558539254","1.58566813943119","1.58647469614894","1.58685373893152","1.58716488025547","1.58760564082295","sd12","USE"
"betaNibc01.2","0.420871782182183","0.0321948617495378","0.357690014089652","0.399081776616666","0.420804669156688","0.442527561696709","0.483919324223723","betaNibc01","Detect"
"betaNibc02.2","0.277431283632008","0.058268983513069","0.163079576457397","0.237993888779239","0.277309816802718","0.316625744826198","0.39154005714804","betaNibc02","Detect"
"betaPo01.2","-0.469052798091437","0.00805617236556551","-0.484862874186017","-0.474505346452977","-0.469069591892434","-0.463633837331891","-0.453276309598851","betaPo01","Detect"
"betaPo02.2","-0.498665676757269","0.0084180499460862","-0.515185930318928","-0.504363149745444","-0.498683224923963","-0.493003300102482","-0.482180519528997","betaPo02","Detect"
"betaPA01.4","-0.367167367970332","0.0759617092233122","-0.516240693192127","-0.418579487072411","-0.36732571684499","-0.316071946617569","-0.218410740497853","betaPA01","Detect"
"betaPA01.5","-0.367167367970332","0.0759617092233122","-0.516240693192127","-0.418579487072411","-0.36732571684499","-0.316071946617569","-0.218410740497853","betaPA01","Detect"
"elev1.2","-1.11189202745737","0.0206997050747472","-1.15251478197612","-1.1259019242009","-1.11193517781612","-1.09796843143134","-1.07135557365612","elev1","Detect"
"elev2.2","-0.995053539483793","0.0199089546125204","-1.03412446213844","-1.00852824346561","-0.995095041453545","-0.981661839441479","-0.956065620768647","elev2","Detect"
"prec1.2","-3.60619952264245","0.0741176236836697","-3.75165386711461","-3.6563635346868","-3.60635402735834","-3.55634452002989","-3.46105418760208","prec1","Detect"
"prec2.2","-4.03598057046244","0.0778954407409065","-4.18884880486094","-4.08870147047676","-4.0361429503708","-3.98358443026484","-3.88343709588066","prec2","Detect"
"distwb1.2","-4.95894215462171","0.217081059609265","-5.38495936420674","-5.10586614310948","-4.95939467921404","-4.8129232153186","-4.53382999422134","distwb1","Detect"
"distwb2.2","-5.71117265209243","0.231251774404547","-6.16499960420302","-5.8676876106132","-5.7116547167881","-5.555621822963","-5.25830982937318","distwb2","Detect"
"dist1.2",NA,NA,NA,NA,NA,NA,NA,"dist1","Detect"
"dist2.2",NA,NA,NA,NA,NA,NA,NA,"dist2","Detect"
"timeSpent1.2","-0.32023114451863","0.286373897595622","-0.882234153769028","-0.514053651692997","-0.320828116136031","-0.127602580579065","0.240577921496966","timeSpent1","Detect"
"timeSpent2.2","0.322923792943028","0.203158214937988","-0.0757701142450892","0.185423011960705","0.322500291746941","0.459577571533176","0.720770697738971","timeSpent2","Detect"
"rho11.2","6.90853005775515","0.00166918050215143","6.90538739661816","6.90737747576924","6.90847127017003","6.90963167498481","6.91192355261654","rho11","Detect"
"rho12.2","6.90853005775515","0.00166918050215143","6.90538739661816","6.90737747576924","6.90847127017003","6.90963167498481","6.91192355261654","rho12","Detect"
"sd11.2","1.080479487747","0.000431854431954235","1.07949295790992","1.0802123144905","1.08054350288842","1.08080758800975","1.08113077239","sd11","Detect"
"sd12.2","1.00692292133191","0.000239190881988093","1.00644502465673","1.00676246743909","1.0069261478692","1.00708530384542","1.0073825731632","sd12","Detect"
