"model","iterations","Parameter","metric","species","value"
"naive",1,"beta0","Bias","1","-1.70348633065055"
"VSE",1,"beta0","Bias","1","-0.326069685263596"
"Detect",1,"beta0","Bias","1","5.88154093233456"
"VSEDetect",1,"beta0","Bias","1","5.72838291478923"
"VSEDetectMisclass",1,"beta0","Bias","1","-0.447814556834248"
"naive",2,"beta0","Bias","1","-2.02653874822144"
"VSE",2,"beta0","Bias","1","-0.569937104028524"
"Detect",2,"beta0","Bias","1","-1.10272556998129"
"VSEDetect",2,"beta0","Bias","1","4.52370410927498"
"VSEDetectMisclass",2,"beta0","Bias","1","0.335244532035381"
"naive",3,"beta0","Bias","1","-2.86250746521927"
"VSE",3,"beta0","Bias","1","-0.887062201556157"
"Detect",3,"beta0","Bias","1","-2.24605245543304"
"VSEDetect",3,"beta0","Bias","1","3.80483039102245"
"VSEDetectMisclass",3,"beta0","Bias","1","0.531155201427338"
"naive",4,"beta0","Bias","1","-1.31296604284076"
"VSE",4,"beta0","Bias","1","0.0363152866806217"
"Detect",4,"beta0","Bias","1","-0.929153344825283"
"VSEDetect",4,"beta0","Bias","1","4.49274892610157"
"VSEDetectMisclass",4,"beta0","Bias","1","-0.495427871361845"
"naive",5,"beta0","Bias","1","-1.2379116989907"
"VSE",5,"beta0","Bias","1","0.32874554503113"
"Detect",5,"beta0","Bias","1","-0.392103375079642"
"VSEDetect",5,"beta0","Bias","1","4.50582557505966"
"VSEDetectMisclass",5,"beta0","Bias","1","0.441348827771383"
"naive",6,"beta0","Bias","1","-2.54180828604111"
"VSE",6,"beta0","Bias","1","-0.727294237911583"
"Detect",6,"beta0","Bias","1","-1.68050871671772"
"VSEDetect",6,"beta0","Bias","1","4.50982689556596"
"VSEDetectMisclass",6,"beta0","Bias","1","-2.92564737678668"
"naive",7,"beta0","Bias","1","-3.29590004599582"
"VSE",7,"beta0","Bias","1","-1.58552369927861"
"Detect",7,"beta0","Bias","1","-2.42428194317504"
"VSEDetect",7,"beta0","Bias","1","3.84124197506516"
"VSEDetectMisclass",7,"beta0","Bias","1","0.180542168412342"
"naive",8,"beta0","Bias","1","-3.45668086539928"
"VSE",8,"beta0","Bias","1","-1.72766892261143"
"Detect",8,"beta0","Bias","1","-2.44937806036264"
"VSEDetect",8,"beta0","Bias","1","4.47709405867619"
"VSEDetectMisclass",8,"beta0","Bias","1","-0.770222689635996"
"naive",9,"beta0","Bias","1","-2.65042953324792"
"VSE",9,"beta0","Bias","1","-1.01548206362962"
"Detect",9,"beta0","Bias","1","-2.23778012155366"
"VSEDetect",9,"beta0","Bias","1","3.80950324135847"
"VSEDetectMisclass",9,"beta0","Bias","1","0.731994227402947"
"naive",10,"beta0","Bias","1","-3.76446443751539"
"VSE",10,"beta0","Bias","1","-1.93874003921376"
"Detect",10,"beta0","Bias","1","-2.80414230384813"
"VSEDetect",10,"beta0","Bias","1","4.50716776807064"
"VSEDetectMisclass",10,"beta0","Bias","1","-4.27256864080302"
"naive",11,"beta0","Bias","1","-2.80682795784931"
"VSE",11,"beta0","Bias","1","-1.42031257733836"
"Detect",11,"beta0","Bias","1","-2.1575601443618"
"VSEDetect",11,"beta0","Bias","1","3.83690137204459"
"VSEDetectMisclass",11,"beta0","Bias","1","-2.95223932684456"
"naive",12,"beta0","Bias","1","-2.17613442722761"
"VSE",12,"beta0","Bias","1","-0.527086096181941"
"Detect",12,"beta0","Bias","1","-1.33476774939399"
"VSEDetect",12,"beta0","Bias","1","4.51436043737169"
"VSEDetectMisclass",12,"beta0","Bias","1","-1.37045321342511"
"naive",13,"beta0","Bias","1","-1.96203917392549"
"VSE",13,"beta0","Bias","1","-0.313644812992617"
"Detect",13,"beta0","Bias","1","-1.36612421907633"
"VSEDetect",13,"beta0","Bias","1","3.83114160951968"
"VSEDetectMisclass",13,"beta0","Bias","1","0.876412354859764"
"naive",14,"beta0","Bias","1","-1.8785660270524"
"VSE",14,"beta0","Bias","1","-0.0569530950646374"
"Detect",14,"beta0","Bias","1","-1.23629515324314"
"VSEDetect",14,"beta0","Bias","1","3.83475199669285"
"VSEDetectMisclass",14,"beta0","Bias","1","-0.42898030593976"
"naive",15,"beta0","Bias","1","-3.70470153305154"
"VSE",15,"beta0","Bias","1","-1.59946521808507"
"Detect",15,"beta0","Bias","1","-2.58453127169947"
"VSEDetect",15,"beta0","Bias","1","4.50823051380611"
"VSEDetectMisclass",15,"beta0","Bias","1","-2.52671558106743"
"naive",16,"beta0","Bias","1","-3.54099999033089"
"VSE",16,"beta0","Bias","1","-1.4033621065345"
"Detect",16,"beta0","Bias","1","-2.48780530989848"
"VSEDetect",16,"beta0","Bias","1","4.51455176706216"
"VSEDetectMisclass",16,"beta0","Bias","1","-3.37360817637164"
"naive",17,"beta0","Bias","1","-1.69317858154337"
"VSE",17,"beta0","Bias","1","-0.496239926514296"
"Detect",17,"beta0","Bias","1","-1.14795711929025"
"VSEDetect",17,"beta0","Bias","1","3.79470143659612"
"VSEDetectMisclass",17,"beta0","Bias","1","-1.6523758525668"
"naive",18,"beta0","Bias","1","-1.61498690471806"
"VSE",18,"beta0","Bias","1","0.035713901782903"
"Detect",18,"beta0","Bias","1","-0.818885192392283"
"VSEDetect",18,"beta0","Bias","1","3.87496805238317"
"VSEDetectMisclass",18,"beta0","Bias","1","-0.78440736075132"
"naive",19,"beta0","Bias","1","-2.38788520849098"
"VSE",19,"beta0","Bias","1","-0.678030248650441"
"Detect",19,"beta0","Bias","1","-1.46145655625911"
"VSEDetect",19,"beta0","Bias","1","3.8906501547004"
"VSEDetectMisclass",19,"beta0","Bias","1","-2.40149490654499"
