"model","metric","species","Parameter","metricEst","value"
"Detect","Bias",1,"alpha0","mean",NA
"Detect","Bias",1,"alpha1","mean",NA
"Detect","Bias",1,"beta0","mean",-1.17715762011546
"Detect","Bias",1,"beta1","mean",0.226672880700585
"Detect","Bias",1,"ecoRange","mean",25.6217494827101
"Detect","Bias",1,"ecoSD","mean",19.637031500456
"Detect","Bias",1,"gamma0","mean",0.00418578937202374
"Detect","Bias",1,"gamma1","mean",76.3114692472635
"Detect","Bias",1,"rangeW2","mean",NA
"Detect","Bias",1,"stdW2","mean",NA
"Detect","Bias",2,"alpha0","mean",NA
"Detect","Bias",2,"alpha1","mean",NA
"Detect","Bias",2,"beta0","mean",-18.2727110515297
"Detect","Bias",2,"beta1","mean",-579.190288553336
"Detect","Bias",2,"ecoRange","mean",18.8725805469866
"Detect","Bias",2,"ecoSD","mean",47.4807206478854
"Detect","Bias",2,"gamma0","mean",0.050033023265173
"Detect","Bias",2,"gamma1","mean",77.5181976932562
"Detect","Bias",2,"rangeW2","mean",NA
"Detect","Bias",2,"stdW2","mean",NA
"Detect","RMSE",1,"alpha0","mean",NA
"Detect","RMSE",1,"alpha1","mean",NA
"Detect","RMSE",1,"beta0","mean",3.77137359009958
"Detect","RMSE",1,"beta1","mean",2.20131449312907
"Detect","RMSE",1,"ecoRange","mean",25.6217494827101
"Detect","RMSE",1,"ecoSD","mean",19.8186255101011
"Detect","RMSE",1,"gamma0","mean",0.0901943035231698
"Detect","RMSE",1,"gamma1","mean",78.0519346947789
"Detect","RMSE",1,"rangeW2","mean",NA
"Detect","RMSE",1,"stdW2","mean",NA
"Detect","RMSE",2,"alpha0","mean",NA
"Detect","RMSE",2,"alpha1","mean",NA
"Detect","RMSE",2,"beta0","mean",18.5107465559914
"Detect","RMSE",2,"beta1","mean",579.681562399998
"Detect","RMSE",2,"ecoRange","mean",18.8725805469866
"Detect","RMSE",2,"ecoSD","mean",47.7042947845668
"Detect","RMSE",2,"gamma0","mean",0.0973464956079211
"Detect","RMSE",2,"gamma1","mean",80.0736384543998
"Detect","RMSE",2,"rangeW2","mean",NA
"Detect","RMSE",2,"stdW2","mean",NA
"VSE","Bias",1,"alpha0","mean",-20.0380417398489
"VSE","Bias",1,"alpha1","mean",-3597.78496094311
"VSE","Bias",1,"beta0","mean",-0.762781453057535
"VSE","Bias",1,"beta1","mean",0.219243327377705
"VSE","Bias",1,"ecoRange","mean",32.6903753929258
"VSE","Bias",1,"ecoSD","mean",-0.324570166460728
"VSE","Bias",1,"gamma0","mean",NA
"VSE","Bias",1,"gamma1","mean",NA
"VSE","Bias",1,"rangeW2","mean",19.3511154142818
"VSE","Bias",1,"stdW2","mean",368.453036484059
"VSE","Bias",2,"alpha0","mean",-20.0380417398489
"VSE","Bias",2,"alpha1","mean",-3597.78496094311
"VSE","Bias",2,"beta0","mean",-1.00987867192405
"VSE","Bias",2,"beta1","mean",-0.20759977845522
"VSE","Bias",2,"ecoRange","mean",27.4132533129744
"VSE","Bias",2,"ecoSD","mean",-0.437311344093839
"VSE","Bias",2,"gamma0","mean",NA
"VSE","Bias",2,"gamma1","mean",NA
"VSE","Bias",2,"rangeW2","mean",19.3511154142818
"VSE","Bias",2,"stdW2","mean",368.453036484059
"VSE","RMSE",1,"alpha0","mean",66.8604030655464
"VSE","RMSE",1,"alpha1","mean",6769.83480146729
"VSE","RMSE",1,"beta0","mean",1.03924349161615
"VSE","RMSE",1,"beta1","mean",0.639114110903999
"VSE","RMSE",1,"ecoRange","mean",32.6903753929258
"VSE","RMSE",1,"ecoSD","mean",0.326379619157312
"VSE","RMSE",1,"gamma0","mean",NA
"VSE","RMSE",1,"gamma1","mean",NA
"VSE","RMSE",1,"rangeW2","mean",19.3511154142818
"VSE","RMSE",1,"stdW2","mean",368.782928332342
"VSE","RMSE",2,"alpha0","mean",66.8604030655464
"VSE","RMSE",2,"alpha1","mean",6769.83480146729
"VSE","RMSE",2,"beta0","mean",1.25687902496948
"VSE","RMSE",2,"beta1","mean",0.673617136346675
"VSE","RMSE",2,"ecoRange","mean",27.4132533129744
"VSE","RMSE",2,"ecoSD","mean",0.437311344093839
"VSE","RMSE",2,"gamma0","mean",NA
"VSE","RMSE",2,"gamma1","mean",NA
"VSE","RMSE",2,"rangeW2","mean",19.3511154142818
"VSE","RMSE",2,"stdW2","mean",368.782928332342
"VSEDetect","Bias",1,"alpha0","mean",-2.09400947200926
"VSEDetect","Bias",1,"alpha1","mean",2.674098562157
"VSEDetect","Bias",1,"beta0","mean",4.31533625391314
"VSEDetect","Bias",1,"beta1","mean",3.67688826188306
"VSEDetect","Bias",1,"ecoRange","mean",-1.5175891201107
"VSEDetect","Bias",1,"ecoSD","mean",26.2723149274741
"VSEDetect","Bias",1,"gamma0","mean",-0.0372365892881531
"VSEDetect","Bias",1,"gamma1","mean",102.367758259762
"VSEDetect","Bias",1,"rangeW2","mean",-5.86000220553147
"VSEDetect","Bias",1,"stdW2","mean",-1.18578968447633
"VSEDetect","Bias",2,"alpha0","mean",-2.09400947200926
"VSEDetect","Bias",2,"alpha1","mean",2.674098562157
"VSEDetect","Bias",2,"beta0","mean",3.30767087900332
"VSEDetect","Bias",2,"beta1","mean",2.90576703720194
"VSEDetect","Bias",2,"ecoRange","mean",16.418643869115
"VSEDetect","Bias",2,"ecoSD","mean",-0.888108323691176
"VSEDetect","Bias",2,"gamma0","mean",-0.199373027398451
"VSEDetect","Bias",2,"gamma1","mean",9.14004075807963
"VSEDetect","Bias",2,"rangeW2","mean",-5.86000220553147
"VSEDetect","Bias",2,"stdW2","mean",-1.18578968447633
"VSEDetect","RMSE",1,"alpha0","mean",3.28497085120618
"VSEDetect","RMSE",1,"alpha1","mean",4.23669411402272
"VSEDetect","RMSE",1,"beta0","mean",6.02454480247179
"VSEDetect","RMSE",1,"beta1","mean",5.32922252854256
"VSEDetect","RMSE",1,"ecoRange","mean",2.98869513173362
"VSEDetect","RMSE",1,"ecoSD","mean",27.6012330901164
"VSEDetect","RMSE",1,"gamma0","mean",0.0895641316926094
"VSEDetect","RMSE",1,"gamma1","mean",103.407008720779
"VSEDetect","RMSE",1,"rangeW2","mean",6.85940673871059
"VSEDetect","RMSE",1,"stdW2","mean",1.18578968447633
"VSEDetect","RMSE",2,"alpha0","mean",3.28497085120618
"VSEDetect","RMSE",2,"alpha1","mean",4.23669411402272
"VSEDetect","RMSE",2,"beta0","mean",3.39303446797489
"VSEDetect","RMSE",2,"beta1","mean",2.99552865558577
"VSEDetect","RMSE",2,"ecoRange","mean",29.1660704253616
"VSEDetect","RMSE",2,"ecoSD","mean",0.888108323691176
"VSEDetect","RMSE",2,"gamma0","mean",0.22892801294552
"VSEDetect","RMSE",2,"gamma1","mean",10.2049185672369
"VSEDetect","RMSE",2,"rangeW2","mean",6.85940673871059
"VSEDetect","RMSE",2,"stdW2","mean",1.18578968447633
"VSEDetectMisclass","Bias",1,"alpha0","mean",-0.888246125251913
"VSEDetectMisclass","Bias",1,"alpha1","mean",-1.41648257870272
"VSEDetectMisclass","Bias",1,"beta0","mean",-0.75129421631154
"VSEDetectMisclass","Bias",1,"beta1","mean",-0.313217590181729
"VSEDetectMisclass","Bias",1,"ecoRange","mean",16.5185244040962
"VSEDetectMisclass","Bias",1,"ecoSD","mean",-0.557646941059673
"VSEDetectMisclass","Bias",1,"gamma0","mean",0.208098009934723
"VSEDetectMisclass","Bias",1,"gamma1","mean",-0.699689790982609
"VSEDetectMisclass","Bias",1,"rangeW2","mean",4.86358683257706
"VSEDetectMisclass","Bias",1,"stdW2","mean",-0.302858954285806
"VSEDetectMisclass","Bias",2,"alpha0","mean",-0.888246125251913
"VSEDetectMisclass","Bias",2,"alpha1","mean",-1.41648257870272
"VSEDetectMisclass","Bias",2,"beta0","mean",0.356053727151092
"VSEDetectMisclass","Bias",2,"beta1","mean",0.223131622737616
"VSEDetectMisclass","Bias",2,"ecoRange","mean",10.7482305759646
"VSEDetectMisclass","Bias",2,"ecoSD","mean",-0.676281889529977
"VSEDetectMisclass","Bias",2,"gamma0","mean",0.12557259964954
"VSEDetectMisclass","Bias",2,"gamma1","mean",-0.842191780507668
"VSEDetectMisclass","Bias",2,"rangeW2","mean",4.86358683257706
"VSEDetectMisclass","Bias",2,"stdW2","mean",-0.302858954285806
"VSEDetectMisclass","RMSE",1,"alpha0","mean",1.92805057881944
