"X1km_square","date","insect_group","count"
"NC0429","19/8/2018 00:00:00","all_insects_total",5
"NC0429","19/8/2018 00:00:00","beetles",0
"NC0429","19/8/2018 00:00:00","bumblebees",0
"NC0429","19/8/2018 00:00:00","butterflies_moths",0
"NC0429","19/8/2018 00:00:00","honeybees",0
"NC0429","19/8/2018 00:00:00","hoverflies",0
"NC0429","19/8/2018 00:00:00","insects_other",2
"NC0429","19/8/2018 00:00:00","insects_small",0
"NC0429","19/8/2018 00:00:00","other_flies",3
"NC0429","19/8/2018 00:00:00","solitary_bees",0
"NC0429","19/8/2018 00:00:00","wasps",0
"NC0429","21/7/2017 00:00:00","all_insects_total",8
"NC0429","21/7/2017 00:00:00","beetles",0
"NC0429","21/7/2017 00:00:00","bumblebees",1
"NC0429","21/7/2017 00:00:00","butterflies_moths",0
"NC0429","21/7/2017 00:00:00","honeybees",0
"NC0429","21/7/2017 00:00:00","hoverflies",0
"NC0429","21/7/2017 00:00:00","insects_other",0
"NC0429","21/7/2017 00:00:00","insects_small",0
"NC0429","21/7/2017 00:00:00","other_flies",7
"NC0429","21/7/2017 00:00:00","solitary_bees",0
"NC0429","21/7/2017 00:00:00","wasps",0
"NC0429","7/6/2018 00:00:00","all_insects_total",4
"NC0429","7/6/2018 00:00:00","beetles",0
"NC0429","7/6/2018 00:00:00","bumblebees",0
"NC0429","7/6/2018 00:00:00","butterflies_moths",0
"NC0429","7/6/2018 00:00:00","honeybees",0
"NC0429","7/6/2018 00:00:00","hoverflies",2
"NC0429","7/6/2018 00:00:00","insects_other",0
"NC0429","7/6/2018 00:00:00","insects_small",0
"NC0429","7/6/2018 00:00:00","other_flies",2
"NC0429","7/6/2018 00:00:00","solitary_bees",0
"NC0429","7/6/2018 00:00:00","wasps",0
"NC2313","21/7/2017 00:00:00","all_insects_total",0
"NC2313","21/7/2017 00:00:00","beetles",0
"NC2313","21/7/2017 00:00:00","bumblebees",0
"NC2313","21/7/2017 00:00:00","butterflies_moths",0
"NC2313","21/7/2017 00:00:00","honeybees",0
"NC2313","21/7/2017 00:00:00","hoverflies",0
"NC2313","21/7/2017 00:00:00","insects_other",0
"NC2313","21/7/2017 00:00:00","insects_small",0
"NC2313","21/7/2017 00:00:00","other_flies",0
"NC2313","21/7/2017 00:00:00","solitary_bees",0
"NC2313","21/7/2017 00:00:00","wasps",0
"NC2313","7/6/2018 00:00:00","all_insects_total",7
"NC2313","7/6/2018 00:00:00","beetles",4
"NC2313","7/6/2018 00:00:00","bumblebees",0
"NC2313","7/6/2018 00:00:00","butterflies_moths",0
"NC2313","7/6/2018 00:00:00","honeybees",0
"NC2313","7/6/2018 00:00:00","hoverflies",0
"NC2313","7/6/2018 00:00:00","insects_other",0
"NC2313","7/6/2018 00:00:00","insects_small",0
"NC2313","7/6/2018 00:00:00","other_flies",3
"NC2313","7/6/2018 00:00:00","solitary_bees",0
"NC2313","7/6/2018 00:00:00","wasps",0
"NC5762","22/7/2017 00:00:00","all_insects_total",11
"NC5762","22/7/2017 00:00:00","beetles",0
"NC5762","22/7/2017 00:00:00","bumblebees",1
"NC5762","22/7/2017 00:00:00","butterflies_moths",0
"NC5762","22/7/2017 00:00:00","honeybees",1
"NC5762","22/7/2017 00:00:00","hoverflies",0
"NC5762","22/7/2017 00:00:00","insects_other",3
"NC5762","22/7/2017 00:00:00","insects_small",0
"NC5762","22/7/2017 00:00:00","other_flies",5
"NC5762","22/7/2017 00:00:00","solitary_bees",0
"NC5762","22/7/2017 00:00:00","wasps",1
"NC5762","30/8/2018 00:00:00","all_insects_total",16
"NC5762","30/8/2018 00:00:00","beetles",0
"NC5762","30/8/2018 00:00:00","bumblebees",3
"NC5762","30/8/2018 00:00:00","butterflies_moths",2
"NC5762","30/8/2018 00:00:00","honeybees",0
"NC5762","30/8/2018 00:00:00","hoverflies",0
"NC5762","30/8/2018 00:00:00","insects_other",0
"NC5762","30/8/2018 00:00:00","insects_small",0
"NC5762","30/8/2018 00:00:00","other_flies",10
"NC5762","30/8/2018 00:00:00","solitary_bees",0
"NC5762","30/8/2018 00:00:00","wasps",1
"NC7158","22/7/2017 00:00:00","all_insects_total",13
"NC7158","22/7/2017 00:00:00","beetles",0
"NC7158","22/7/2017 00:00:00","bumblebees",1
"NC7158","22/7/2017 00:00:00","butterflies_moths",0
"NC7158","22/7/2017 00:00:00","honeybees",0
"NC7158","22/7/2017 00:00:00","hoverflies",3
"NC7158","22/7/2017 00:00:00","insects_other",0
"NC7158","22/7/2017 00:00:00","insects_small",0
"NC7158","22/7/2017 00:00:00","other_flies",9
"NC7158","22/7/2017 00:00:00","solitary_bees",0
"NC7158","22/7/2017 00:00:00","wasps",0
"NC7158","26/6/2017 00:00:00","all_insects_total",0
"NC7158","26/6/2017 00:00:00","beetles",0
"NC7158","26/6/2017 00:00:00","bumblebees",0
"NC7158","26/6/2017 00:00:00","butterflies_moths",0
"NC7158","26/6/2017 00:00:00","honeybees",0
"NC7158","26/6/2017 00:00:00","hoverflies",0
"NC7158","26/6/2017 00:00:00","insects_other",0
"NC7158","26/6/2017 00:00:00","insects_small",0
"NC7158","26/6/2017 00:00:00","other_flies",0
"NC7158","26/6/2017 00:00:00","solitary_bees",0
