"X1km_square","date","insect_group","count","n_surveys"
"NC0429","19/8/2018 00:00:00","all_insects_total",5,4
"NC0429","19/8/2018 00:00:00","beetles",0,4
"NC0429","19/8/2018 00:00:00","bumblebees",0,4
"NC0429","19/8/2018 00:00:00","butterflies_moths",0,4
"NC0429","19/8/2018 00:00:00","honeybees",0,4
"NC0429","19/8/2018 00:00:00","hoverflies",0,4
"NC0429","19/8/2018 00:00:00","insects_other",2,4
"NC0429","19/8/2018 00:00:00","insects_small",0,4
"NC0429","19/8/2018 00:00:00","other_flies",3,4
"NC0429","19/8/2018 00:00:00","solitary_bees",0,4
"NC0429","19/8/2018 00:00:00","wasps",0,4
"NC0429","21/7/2017 00:00:00","all_insects_total",8,3
"NC0429","21/7/2017 00:00:00","beetles",0,3
"NC0429","21/7/2017 00:00:00","bumblebees",1,3
"NC0429","21/7/2017 00:00:00","butterflies_moths",0,3
"NC0429","21/7/2017 00:00:00","honeybees",0,3
"NC0429","21/7/2017 00:00:00","hoverflies",0,3
"NC0429","21/7/2017 00:00:00","insects_other",0,3
"NC0429","21/7/2017 00:00:00","insects_small",0,3
"NC0429","21/7/2017 00:00:00","other_flies",7,3
"NC0429","21/7/2017 00:00:00","solitary_bees",0,3
"NC0429","21/7/2017 00:00:00","wasps",0,3
"NC0429","7/6/2018 00:00:00","all_insects_total",4,4
"NC0429","7/6/2018 00:00:00","beetles",0,4
"NC0429","7/6/2018 00:00:00","bumblebees",0,4
"NC0429","7/6/2018 00:00:00","butterflies_moths",0,4
"NC0429","7/6/2018 00:00:00","honeybees",0,4
"NC0429","7/6/2018 00:00:00","hoverflies",2,4
"NC0429","7/6/2018 00:00:00","insects_other",0,4
"NC0429","7/6/2018 00:00:00","insects_small",0,4
"NC0429","7/6/2018 00:00:00","other_flies",2,4
"NC0429","7/6/2018 00:00:00","solitary_bees",0,4
"NC0429","7/6/2018 00:00:00","wasps",0,4
"NC2313","21/7/2017 00:00:00","all_insects_total",0,3
"NC2313","21/7/2017 00:00:00","beetles",0,3
"NC2313","21/7/2017 00:00:00","bumblebees",0,3
"NC2313","21/7/2017 00:00:00","butterflies_moths",0,3
"NC2313","21/7/2017 00:00:00","honeybees",0,3
"NC2313","21/7/2017 00:00:00","hoverflies",0,3
"NC2313","21/7/2017 00:00:00","insects_other",0,3
"NC2313","21/7/2017 00:00:00","insects_small",0,3
"NC2313","21/7/2017 00:00:00","other_flies",0,3
"NC2313","21/7/2017 00:00:00","solitary_bees",0,3
"NC2313","21/7/2017 00:00:00","wasps",0,3
"NC2313","7/6/2018 00:00:00","all_insects_total",7,3
"NC2313","7/6/2018 00:00:00","beetles",4,3
"NC2313","7/6/2018 00:00:00","bumblebees",0,3
"NC2313","7/6/2018 00:00:00","butterflies_moths",0,3
"NC2313","7/6/2018 00:00:00","honeybees",0,3
"NC2313","7/6/2018 00:00:00","hoverflies",0,3
"NC2313","7/6/2018 00:00:00","insects_other",0,3
"NC2313","7/6/2018 00:00:00","insects_small",0,3
"NC2313","7/6/2018 00:00:00","other_flies",3,3
"NC2313","7/6/2018 00:00:00","solitary_bees",0,3
"NC2313","7/6/2018 00:00:00","wasps",0,3
"NC5762","22/7/2017 00:00:00","all_insects_total",11,5
"NC5762","22/7/2017 00:00:00","beetles",0,5
"NC5762","22/7/2017 00:00:00","bumblebees",1,5
"NC5762","22/7/2017 00:00:00","butterflies_moths",0,5
"NC5762","22/7/2017 00:00:00","honeybees",1,5
"NC5762","22/7/2017 00:00:00","hoverflies",0,5
"NC5762","22/7/2017 00:00:00","insects_other",3,5
"NC5762","22/7/2017 00:00:00","insects_small",0,5
"NC5762","22/7/2017 00:00:00","other_flies",5,5
"NC5762","22/7/2017 00:00:00","solitary_bees",0,5
"NC5762","22/7/2017 00:00:00","wasps",1,5
"NC5762","30/8/2018 00:00:00","all_insects_total",16,4
"NC5762","30/8/2018 00:00:00","beetles",0,4
"NC5762","30/8/2018 00:00:00","bumblebees",3,4
"NC5762","30/8/2018 00:00:00","butterflies_moths",2,4
"NC5762","30/8/2018 00:00:00","honeybees",0,4
"NC5762","30/8/2018 00:00:00","hoverflies",0,4
"NC5762","30/8/2018 00:00:00","insects_other",0,4
"NC5762","30/8/2018 00:00:00","insects_small",0,4
"NC5762","30/8/2018 00:00:00","other_flies",10,4
"NC5762","30/8/2018 00:00:00","solitary_bees",0,4
"NC5762","30/8/2018 00:00:00","wasps",1,4
"NC7158","22/7/2017 00:00:00","all_insects_total",13,3
"NC7158","22/7/2017 00:00:00","beetles",0,3
"NC7158","22/7/2017 00:00:00","bumblebees",1,3
"NC7158","22/7/2017 00:00:00","butterflies_moths",0,3
"NC7158","22/7/2017 00:00:00","honeybees",0,3
"NC7158","22/7/2017 00:00:00","hoverflies",3,3
"NC7158","22/7/2017 00:00:00","insects_other",0,3
"NC7158","22/7/2017 00:00:00","insects_small",0,3
"NC7158","22/7/2017 00:00:00","other_flies",9,3
"NC7158","22/7/2017 00:00:00","solitary_bees",0,3
"NC7158","22/7/2017 00:00:00","wasps",0,3
"NC7158","26/6/2017 00:00:00","all_insects_total",0,2
"NC7158","26/6/2017 00:00:00","beetles",0,2
"NC7158","26/6/2017 00:00:00","bumblebees",0,2
"NC7158","26/6/2017 00:00:00","butterflies_moths",0,2
"NC7158","26/6/2017 00:00:00","honeybees",0,2
"NC7158","26/6/2017 00:00:00","hoverflies",0,2
"NC7158","26/6/2017 00:00:00","insects_other",0,2
"NC7158","26/6/2017 00:00:00","insects_small",0,2
"NC7158","26/6/2017 00:00:00","other_flies",0,2
"NC7158","26/6/2017 00:00:00","solitary_bees",0,2
"NC7158","26/6/2017 00:00:00","wasps",0,2
"NC7158","30/8/2018 00:00:00","all_insects_total",18,3
"NC7158","30/8/2018 00:00:00","beetles",0,3
"NC7158","30/8/2018 00:00:00","bumblebees",0,3
"NC7158","30/8/2018 00:00:00","butterflies_moths",0,3
"NC7158","30/8/2018 00:00:00","honeybees",0,3
"NC7158","30/8/2018 00:00:00","hoverflies",5,3
"NC7158","30/8/2018 00:00:00","insects_other",0,3
"NC7158","30/8/2018 00:00:00","insects_small",0,3
"NC7158","30/8/2018 00:00:00","other_flies",13,3
"NC7158","30/8/2018 00:00:00","solitary_bees",0,3
"NC7158","30/8/2018 00:00:00","wasps",0,3
"NJ0327","20/8/2018 00:00:00","all_insects_total",7,2
"NJ0327","20/8/2018 00:00:00","beetles",2,2
"NJ0327","20/8/2018 00:00:00","bumblebees",1,2
"NJ0327","20/8/2018 00:00:00","butterflies_moths",0,2
"NJ0327","20/8/2018 00:00:00","honeybees",0,2
"NJ0327","20/8/2018 00:00:00","hoverflies",2,2
"NJ0327","20/8/2018 00:00:00","insects_other",2,2
"NJ0327","20/8/2018 00:00:00","insects_small",0,2
"NJ0327","20/8/2018 00:00:00","other_flies",0,2
"NJ0327","20/8/2018 00:00:00","solitary_bees",0,2
"NJ0327","20/8/2018 00:00:00","wasps",0,2
"NJ0327","24/5/2018 00:00:00","all_insects_total",71,4
"NJ0327","24/5/2018 00:00:00","beetles",3,4
"NJ0327","24/5/2018 00:00:00","bumblebees",0,4
"NJ0327","24/5/2018 00:00:00","butterflies_moths",0,4
"NJ0327","24/5/2018 00:00:00","honeybees",0,4
"NJ0327","24/5/2018 00:00:00","hoverflies",11,4
"NJ0327","24/5/2018 00:00:00","insects_other",0,4
"NJ0327","24/5/2018 00:00:00","insects_small",52,4
"NJ0327","24/5/2018 00:00:00","other_flies",4,4
"NJ0327","24/5/2018 00:00:00","solitary_bees",0,4
"NJ0327","24/5/2018 00:00:00","wasps",1,4
"NJ0327","24/6/2018 00:00:00","all_insects_total",1,3
"NJ0327","24/6/2018 00:00:00","beetles",0,3
"NJ0327","24/6/2018 00:00:00","bumblebees",1,3
"NJ0327","24/6/2018 00:00:00","butterflies_moths",0,3
"NJ0327","24/6/2018 00:00:00","honeybees",0,3
"NJ0327","24/6/2018 00:00:00","hoverflies",0,3
"NJ0327","24/6/2018 00:00:00","insects_other",0,3
"NJ0327","24/6/2018 00:00:00","insects_small",0,3
"NJ0327","24/6/2018 00:00:00","other_flies",0,3
"NJ0327","24/6/2018 00:00:00","solitary_bees",0,3
"NJ0327","24/6/2018 00:00:00","wasps",0,3
"NJ0327","24/7/2017 00:00:00","all_insects_total",20,3
"NJ0327","24/7/2017 00:00:00","beetles",0,3
"NJ0327","24/7/2017 00:00:00","bumblebees",2,3
"NJ0327","24/7/2017 00:00:00","butterflies_moths",0,3
"NJ0327","24/7/2017 00:00:00","honeybees",0,3
"NJ0327","24/7/2017 00:00:00","hoverflies",2,3
"NJ0327","24/7/2017 00:00:00","insects_other",1,3
"NJ0327","24/7/2017 00:00:00","insects_small",0,3
"NJ0327","24/7/2017 00:00:00","other_flies",15,3
"NJ0327","24/7/2017 00:00:00","solitary_bees",0,3
"NJ0327","24/7/2017 00:00:00","wasps",0,3
"NJ0327","24/7/2018 00:00:00","all_insects_total",12,3
"NJ0327","24/7/2018 00:00:00","beetles",0,3
"NJ0327","24/7/2018 00:00:00","bumblebees",1,3
"NJ0327","24/7/2018 00:00:00","butterflies_moths",0,3
"NJ0327","24/7/2018 00:00:00","honeybees",0,3
"NJ0327","24/7/2018 00:00:00","hoverflies",3,3
"NJ0327","24/7/2018 00:00:00","insects_other",0,3
"NJ0327","24/7/2018 00:00:00","insects_small",0,3
"NJ0327","24/7/2018 00:00:00","other_flies",5,3
"NJ0327","24/7/2018 00:00:00","solitary_bees",3,3
"NJ0327","24/7/2018 00:00:00","wasps",0,3
"NJ0327","5/7/2017 00:00:00","all_insects_total",17,2
"NJ0327","5/7/2017 00:00:00","beetles",1,2
"NJ0327","5/7/2017 00:00:00","bumblebees",1,2
"NJ0327","5/7/2017 00:00:00","butterflies_moths",0,2
"NJ0327","5/7/2017 00:00:00","honeybees",0,2
"NJ0327","5/7/2017 00:00:00","hoverflies",3,2
"NJ0327","5/7/2017 00:00:00","insects_other",0,2
"NJ0327","5/7/2017 00:00:00","insects_small",9,2
"NJ0327","5/7/2017 00:00:00","other_flies",3,2
"NJ0327","5/7/2017 00:00:00","solitary_bees",0,2
"NJ0327","5/7/2017 00:00:00","wasps",0,2
"NJ6415","16/8/2018 00:00:00","all_insects_total",52,4
"NJ6415","16/8/2018 00:00:00","beetles",0,4
"NJ6415","16/8/2018 00:00:00","bumblebees",2,4
"NJ6415","16/8/2018 00:00:00","butterflies_moths",0,4
"NJ6415","16/8/2018 00:00:00","honeybees",0,4
"NJ6415","16/8/2018 00:00:00","hoverflies",37,4
"NJ6415","16/8/2018 00:00:00","insects_other",1,4
"NJ6415","16/8/2018 00:00:00","insects_small",0,4
"NJ6415","16/8/2018 00:00:00","other_flies",10,4
"NJ6415","16/8/2018 00:00:00","solitary_bees",0,4
"NJ6415","16/8/2018 00:00:00","wasps",2,4
"NJ6415","17/8/2017 00:00:00","all_insects_total",71,4
"NJ6415","17/8/2017 00:00:00","beetles",2,4
"NJ6415","17/8/2017 00:00:00","bumblebees",3,4
"NJ6415","17/8/2017 00:00:00","butterflies_moths",1,4
"NJ6415","17/8/2017 00:00:00","honeybees",4,4
"NJ6415","17/8/2017 00:00:00","hoverflies",11,4
"NJ6415","17/8/2017 00:00:00","insects_other",2,4
"NJ6415","17/8/2017 00:00:00","insects_small",17,4
"NJ6415","17/8/2017 00:00:00","other_flies",30,4
"NJ6415","17/8/2017 00:00:00","solitary_bees",1,4
"NJ6415","17/8/2017 00:00:00","wasps",0,4
"NJ6415","18/7/2017 00:00:00","all_insects_total",18,3
"NJ6415","18/7/2017 00:00:00","beetles",1,3
"NJ6415","18/7/2017 00:00:00","bumblebees",3,3
"NJ6415","18/7/2017 00:00:00","butterflies_moths",0,3
"NJ6415","18/7/2017 00:00:00","honeybees",0,3
"NJ6415","18/7/2017 00:00:00","hoverflies",2,3
"NJ6415","18/7/2017 00:00:00","insects_other",2,3
"NJ6415","18/7/2017 00:00:00","insects_small",0,3
"NJ6415","18/7/2017 00:00:00","other_flies",10,3
"NJ6415","18/7/2017 00:00:00","solitary_bees",0,3
"NJ6415","18/7/2017 00:00:00","wasps",0,3
"NJ7638","11/6/2018 00:00:00","all_insects_total",59,4
"NJ7638","11/6/2018 00:00:00","beetles",2,4
"NJ7638","11/6/2018 00:00:00","bumblebees",0,4
"NJ7638","11/6/2018 00:00:00","butterflies_moths",0,4
"NJ7638","11/6/2018 00:00:00","honeybees",0,4
"NJ7638","11/6/2018 00:00:00","hoverflies",3,4
"NJ7638","11/6/2018 00:00:00","insects_other",0,4
"NJ7638","11/6/2018 00:00:00","insects_small",34,4
"NJ7638","11/6/2018 00:00:00","other_flies",19,4
"NJ7638","11/6/2018 00:00:00","solitary_bees",0,4
"NJ7638","11/6/2018 00:00:00","wasps",1,4
"NJ7638","16/8/2018 00:00:00","all_insects_total",25,2
"NJ7638","16/8/2018 00:00:00","beetles",0,2
"NJ7638","16/8/2018 00:00:00","bumblebees",0,2
"NJ7638","16/8/2018 00:00:00","butterflies_moths",0,2
"NJ7638","16/8/2018 00:00:00","honeybees",0,2
"NJ7638","16/8/2018 00:00:00","hoverflies",16,2
"NJ7638","16/8/2018 00:00:00","insects_other",1,2
"NJ7638","16/8/2018 00:00:00","insects_small",3,2
"NJ7638","16/8/2018 00:00:00","other_flies",5,2
"NJ7638","16/8/2018 00:00:00","solitary_bees",0,2
"NJ7638","16/8/2018 00:00:00","wasps",0,2
"NJ7638","25/7/2017 00:00:00","all_insects_total",89,3
"NJ7638","25/7/2017 00:00:00","beetles",1,3
"NJ7638","25/7/2017 00:00:00","bumblebees",8,3
"NJ7638","25/7/2017 00:00:00","butterflies_moths",0,3
"NJ7638","25/7/2017 00:00:00","honeybees",0,3
"NJ7638","25/7/2017 00:00:00","hoverflies",20,3
"NJ7638","25/7/2017 00:00:00","insects_other",0,3
"NJ7638","25/7/2017 00:00:00","insects_small",37,3
"NJ7638","25/7/2017 00:00:00","other_flies",23,3
"NJ7638","25/7/2017 00:00:00","solitary_bees",0,3
"NJ7638","25/7/2017 00:00:00","wasps",0,3
"NJ7638","4/7/2017 00:00:00","all_insects_total",29,2
"NJ7638","4/7/2017 00:00:00","beetles",12,2
"NJ7638","4/7/2017 00:00:00","bumblebees",3,2
"NJ7638","4/7/2017 00:00:00","butterflies_moths",0,2
"NJ7638","4/7/2017 00:00:00","honeybees",0,2
"NJ7638","4/7/2017 00:00:00","hoverflies",1,2
"NJ7638","4/7/2017 00:00:00","insects_other",0,2
"NJ7638","4/7/2017 00:00:00","insects_small",0,2
"NJ7638","4/7/2017 00:00:00","other_flies",11,2
"NJ7638","4/7/2017 00:00:00","solitary_bees",0,2
"NJ7638","4/7/2017 00:00:00","wasps",2,2
"NJ7638","4/9/2018 00:00:00","all_insects_total",50,3
"NJ7638","4/9/2018 00:00:00","beetles",0,3
"NJ7638","4/9/2018 00:00:00","bumblebees",3,3
"NJ7638","4/9/2018 00:00:00","butterflies_moths",0,3
"NJ7638","4/9/2018 00:00:00","honeybees",0,3
"NJ7638","4/9/2018 00:00:00","hoverflies",32,3
"NJ7638","4/9/2018 00:00:00","insects_other",1,3
"NJ7638","4/9/2018 00:00:00","insects_small",0,3
"NJ7638","4/9/2018 00:00:00","other_flies",12,3
"NJ7638","4/9/2018 00:00:00","solitary_bees",0,3
"NJ7638","4/9/2018 00:00:00","wasps",2,3
"NN5527","12/7/2017 00:00:00","all_insects_total",25,4
"NN5527","12/7/2017 00:00:00","beetles",1,4
"NN5527","12/7/2017 00:00:00","bumblebees",1,4
"NN5527","12/7/2017 00:00:00","butterflies_moths",8,4
"NN5527","12/7/2017 00:00:00","honeybees",0,4
"NN5527","12/7/2017 00:00:00","hoverflies",3,4
