"CVvalue","GC_IDM","SO_IDM","InsectGroup","Model"
-362.286584341204,NA,NA,"bumblebees","GCMSH"
-341.12718905242,NA,NA,"bumblebees","GCMCO"
-7135.28661928439,NA,NA,"bumblebees","SOM"
-7169.91785591234,-329.25908639987,-6840.65876951247,"bumblebees","IDMSH"
-7321.42229467996,-337.48461301926,-6983.9376816607,"bumblebees","IDMCO"
-517.497851511079,NA,NA,"hoverflies","GCMSH"
-513.621184617844,NA,NA,"hoverflies","GCMCO"
-35118.551176834,NA,NA,"hoverflies","SOM"
-36195.1033847975,-479.358800381013,-35715.7445844164,"hoverflies","IDMSH"
-32275.8954958999,-559.488238653777,-31716.4072572461,"hoverflies","IDMCO"
-529.3666950851,NA,NA,"solitarybees","GCMSH"
-478.514654119727,NA,NA,"solitarybees","GCMCO"
-29713.4476631683,NA,NA,"solitarybees","SOM"
-30198.0014635211,-348.576231450221,-29849.4252320708,"solitarybees","IDMSH"
-32991.1848486205,-476.670970931303,-32514.5138776892,"solitarybees","IDMCO"
