"coords","insects","model","variable","mean","sites","sd"
"NC0429","Bumblebees","IDMSH","V1",2.27541063240984,"NC0429",0.191757388664676
"NC0429","Bumblebees","SOM","V1",0.700398328083406,"NC0429",0.523278063303126
"NC0429","Bumblebees","IDMCO","V1",1.8859782412754,"NC0429",0.533170223101994
"NC0429","Bumblebees","IGSH","V1",2.72617102957914,"NC0429",0.087900538463561
"NC0429","Bumblebees","IGCO","V1",2.616504513789,"NC0429",0.214007834811258
"NC0429","Hoverflies","IDMSH","V1",3.77922417991562,"NC0429",0.132386424604224
"NC0429","Hoverflies","SOM","V1",3.6044605127801,"NC0429",0.300303468200875
"NC0429","Hoverflies","IDMCO","V1",3.77176924688142,"NC0429",0.190921096629006
"NC0429","Hoverflies","IGSH","V1",4.3007896572949,"NC0429",0.0394221443709251
"NC0429","Hoverflies","IGCO","V1",4.17696787324463,"NC0429",0.169131323323676
"NC0429","Solitary bees","IDMSH","V1",2.45279008480961,"NC0429",0.400362279028307
"NC0429","Solitary bees","SOM","V1",2.10810734138352,"NC0429",0.650924085230969
"NC0429","Solitary bees","IDMCO","V1",2.48604667514796,"NC0429",0.471188832177073
"NC0429","Solitary bees","IGSH","V1",3.8719626165244,"NC0429",0.378680095855849
"NC0429","Solitary bees","IGCO","V1",3.59233457765192,"NC0429",0.590210554296233
"NC2313","Bumblebees","IDMSH","V2",2.29335871465609,"NC2313",0.181247709612131
"NC2313","Bumblebees","SOM","V2",0.713164505873766,"NC2313",0.526607814863667
"NC2313","Bumblebees","IDMCO","V2",1.89436229157175,"NC2313",0.533913145734816
"NC2313","Bumblebees","IGSH","V2",2.73096318110586,"NC2313",0.083487524967733
"NC2313","Bumblebees","IGCO","V2",2.62783918970388,"NC2313",0.203822363065722
"NC2313","Hoverflies","IDMSH","V2",3.79431837639607,"NC2313",0.127308821931395
"NC2313","Hoverflies","SOM","V2",3.63096774715223,"NC2313",0.28776640631477
"NC2313","Hoverflies","IDMCO","V2",3.79045689577326,"NC2313",0.184509385462436
"NC2313","Hoverflies","IGSH","V2",4.30406421465562,"NC2313",0.0372844295908499
"NC2313","Hoverflies","IGCO","V2",4.1879657865306,"NC2313",0.159668414788931
"NC2313","Solitary bees","IDMSH","V2",2.49058981786908,"NC2313",0.389204845499069
"NC2313","Solitary bees","SOM","V2",2.150699533903,"NC2313",0.642689119159054
"NC2313","Solitary bees","IDMCO","V2",2.52259761579612,"NC2313",0.462779079075666
"NC2313","Solitary bees","IGSH","V2",3.88808837393926,"NC2313",0.362566113075626
"NC2313","Solitary bees","IGCO","V2",3.62319345768218,"NC2313",0.567673420639096
"NC5762","Bumblebees","IDMSH","V3",2.23469336463535,"NC5762",0.215290929564562
"NC5762","Bumblebees","SOM","V3",0.675079700363252,"NC5762",0.516391937679563
"NC5762","Bumblebees","IDMCO","V3",1.86742990324458,"NC5762",0.531148746620771
"NC5762","Bumblebees","IGSH","V3",2.7158951896448,"NC5762",0.0973715882342783
"NC5762","Bumblebees","IGCO","V3",2.59259419308529,"NC5762",0.23509191576879
"NC5762","Hoverflies","IDMSH","V3",3.74697516846517,"NC5762",0.143518512833053
"NC5762","Hoverflies","SOM","V3",3.54833307899702,"NC5762",0.326534754246351
"NC5762","Hoverflies","IDMCO","V3",3.73196759456982,"NC5762",0.204813334094157
"NC5762","Hoverflies","IGSH","V3",4.29372601139456,"NC5762",0.0440667377439669
"NC5762","Hoverflies","IGCO","V3",4.15340764627018,"NC5762",0.189299854082198
"NC5762","Solitary bees","IDMSH","V3",2.37404968143184,"NC5762",0.423461978489794
"NC5762","Solitary bees","SOM","V3",2.02195680234177,"NC5762",0.665289696122418
"NC5762","Solitary bees","IDMCO","V3",2.41043466991684,"NC5762",0.488151059805969
"NC5762","Solitary bees","IGSH","V3",3.83795551383317,"NC5762",0.411908970703896
"NC5762","Solitary bees","IGCO","V3",3.5284574310504,"NC5762",0.635157895516299
"NC7158","Bumblebees","IDMSH","V4",2.23988177360131,"NC7158",0.212326624102909
"NC7158","Bumblebees","SOM","V4",0.678077736153274,"NC7158",0.517226968776034
"NC7158","Bumblebees","IDMCO","V4",1.86976683165119,"NC7158",0.531427119271594
"NC7158","Bumblebees","IGSH","V4",2.71716841020452,"NC7158",0.0961983201544194
"NC7158","Bumblebees","IGCO","V4",2.59552820444225,"NC7158",0.232534162427536
"NC7158","Hoverflies","IDMSH","V4",3.75096281519018,"NC7158",0.142122383394085
"NC7158","Hoverflies","SOM","V4",3.55523425445044,"NC7158",0.323335948971093
"NC7158","Hoverflies","IDMCO","V4",3.7368795207408,"NC7158",0.203083808067528
"NC7158","Hoverflies","IGSH","V4",4.29460439873577,"NC7158",0.043486982037005
"NC7158","Hoverflies","IGCO","V4",4.15632514604982,"NC7158",0.186810327600768
"NC7158","Solitary bees","IDMSH","V4",2.38363557204553,"NC7158",0.420672783794649
"NC7158","Solitary bees","SOM","V4",2.03226881056528,"NC7158",0.663729770821531
"NC7158","Solitary bees","IDMCO","V4",2.41960643391171,"NC7158",0.486127516288748
"NC7158","Solitary bees","IGSH","V4",3.84212765285606,"NC7158",0.407887795997558
"NC7158","Solitary bees","IGCO","V4",3.5362084175464,"NC7158",0.629825017826814
"NJ0327","Bumblebees","IDMSH","V5",2.36778678747683,"NJ0327",0.13867143598361
"NJ0327","Bumblebees","SOM","V5",0.787654699886605,"NJ0327",0.544103022558894
"NJ0327","Bumblebees","IDMCO","V5",1.932340606579,"NJ0327",0.534990813171536
"NJ0327","Bumblebees","IGSH","V5",2.75449681287808,"NJ0327",0.0620412517424551
"NJ0327","Bumblebees","IGCO","V5",2.68531027828755,"NJ0327",0.150326687480638
"NJ0327","Hoverflies","IDMSH","V5",3.86908466826781,"NJ0327",0.103655184914412
"NJ0327","Hoverflies","SOM","V5",3.76409022110961,"NJ0327",0.22418613326686
"NJ0327","Hoverflies","IDMCO","V5",3.88347271691838,"NJ0327",0.154149309471733
"NJ0327","Hoverflies","IGSH","V5",4.31997551217745,"NJ0327",0.0271068996226556
"NJ0327","Hoverflies","IGCO","V5",4.24207073714501,"NJ0327",0.112718924877535
"NJ0327","Solitary bees","IDMSH","V5",2.68664484441562,"NJ0327",0.33386211114254
"NJ0327","Solitary bees","SOM","V5",2.38648558536361,"NJ0327",0.583266887530334
"NJ0327","Solitary bees","IDMCO","V5",2.71583910712243,"NJ0327",0.416683028778687
"NJ0327","Solitary bees","IGSH","V5",3.96986621849933,"NJ0327",0.277554847867216
"NJ0327","Solitary bees","IGCO","V5",3.78566300876309,"NJ0327",0.439956185589402
"NJ6415","Bumblebees","IDMSH","V6",2.37511559845236,"NJ6415",0.134789390144821
"NJ6415","Bumblebees","SOM","V6",0.798909912432811,"NJ6415",0.546456226124695
"NJ6415","Bumblebees","IDMCO","V6",1.9366658040128,"NJ6415",0.534740643987644
"NJ6415","Bumblebees","IGSH","V6",2.75747227144606,"NJ6415",0.0593832415398535
"NJ6415","Bumblebees","IGCO","V6",2.69280146878808,"NJ6415",0.143131708332075
"NJ6415","Hoverflies","IDMSH","V6",3.87863308079498,"NJ6415",0.100842340723913
"NJ6415","Hoverflies","SOM","V6",3.78125590599955,"NJ6415",0.216029676348317
"NJ6415","Hoverflies","IDMCO","V6",3.89539110426685,"NJ6415",0.150509770294517
"NJ6415","Hoverflies","IGSH","V6",4.32196836372468,"NJ6415",0.0258677932522578
"NJ6415","Hoverflies","IGCO","V6",4.24892312286528,"NJ6415",0.106730182651896
"NJ6415","Solitary bees","IDMSH","V6",2.71278942524721,"NJ6415",0.327213387031856
"NJ6415","Solitary bees","SOM","V6",2.41999779813194,"NJ6415",0.572942608691267
"NJ6415","Solitary bees","IDMCO","V6",2.74217729093924,"NJ6415",0.410262533040669
"NJ6415","Solitary bees","IGSH","V6",3.98052262357996,"NJ6415",0.266124208229219
"NJ6415","Solitary bees","IGCO","V6",3.80760077852371,"NJ6415",0.421534813960902
"NJ7638","Bumblebees","IDMSH","V7",2.3604082981328,"NJ7638",0.142671671635282
"NJ7638","Bumblebees","SOM","V7",0.777540801604391,"NJ7638",0.541927890964485
"NJ7638","Bumblebees","IDMCO","V7",1.92816331217851,"NJ7638",0.535134504767078
"NJ7638","Bumblebees","IGSH","V7",2.75170163343267,"NJ7638",0.0645538345890362
"NJ7638","Bumblebees","IGCO","V7",2.67832048279378,"NJ7638",0.156994965825688
"NJ7638","Hoverflies","IDMSH","V7",3.86013770839362,"NJ7638",0.106337941215543
"NJ7638","Hoverflies","SOM","V7",3.74803076258146,"NJ7638",0.231845639191478
"NJ7638","Hoverflies","IDMCO","V7",3.87231059826533,"NJ7638",0.157619739215369
"NJ7638","Hoverflies","IGSH","V7",4.31809971598612,"NJ7638",0.0282825131915844
"NJ7638","Hoverflies","IGCO","V7",4.23563601741975,"NJ7638",0.118334458432862
"NJ7638","Solitary bees","IDMSH","V7",2.6623899790207,"NJ7638",0.340245387268156
"NJ7638","Solitary bees","SOM","V7",2.35585081492076,"NJ7638",0.592306300149632
"NJ7638","Solitary bees","IDMCO","V7",2.69153721695379,"NJ7638",0.422588580884789
"NJ7638","Solitary bees","IGSH","V7",3.95992159753514,"NJ7638",0.288159143069538
