"V1","model","insects"
3574.70797330587,"IDMSH","Bumblebees"
2796.46150659872,"SOM","Bumblebees"
3467.46476462956,"IDMCO","Bumblebees"
901.116389083994,"IGSH","Bumblebees"
650.369509889093,"IGCO","Bumblebees"
10965.5395348103,"IDMSH","Hoverflies"
9690.26887214348,"SOM","Hoverflies"
10667.347984787,"IDMCO","Hoverflies"
1483.67813296819,"IGSH","Hoverflies"
1010.93492603967,"IGCO","Hoverflies"
5088.32152245178,"IDMSH","Solitary bees"
4749.7100797053,"SOM","Solitary bees"
4976.55544513339,"IDMCO","Solitary bees"
392.802241249788,"IGSH","Solitary bees"
265.733813002526,"IGCO","Solitary bees"
